id,label,definition
ข ๑๑๑,ความรู้สึกไม่อาจตัดสินใจว่าจะกระทำอย่างไร,ลังเล		ตัดสินใจไม่ได้ เช่น ตัดสินใจแน่วแน่โดยไม่ลังเล
ข ๑๑๒,ความร็สึกว่าจะต้องรีบหรือไม่ต้องรีบกระทำ,ร้อนใจ; ร้อนอกร้อนใจ (ไม่ทางการ)	รู้สึกว่าจะต้องรีบกระทำการอย่างใดอย่างหนึ่ง เช่น ร้อนใจเพราะถึงเวลาเปิดงานแล้ว แต่ประธานยังไม่มา
ข ๑๑๓,ความรู้สึกเมื่อไม่รู้ว่าจะเกิดเหตุการณ์อย่างไร,"ใจเต้น, ใจระทึก, ระทึกใจ	จิตใจไม่เป็นปรกติเพราะไม่รู้ว่าต่อไปจะเป็นอย่างไร เช่น ใจเต้นไม่เป็นส่ำขณะเปิดซองจดหมาย, คอยฟังคำสั่งด้วยใจระทึก, นามีระทึกใจ"
ข ๑๑๔,ความรู้สึกเมื่ออาจประสบเหตุการณ์ที่ดี,กระหยิ่มใจ	เบิกบานโดยคาดว่าตนจะได้รับสิ่งดี เช่น กระหยิ่มใจว่าจะได้ชัยชนะ
ข ๑๑๕, ข ๑๑๖ ความรู้สึกเมื่ออาจประสบเหตุการณ์ไม่ดี,ข ๑๑๕ ความวิตกกังวล
ข ๑๑๖,ความไม่วิตกและคลายวิตก,สบายใจ		ไม่มีความวิตกกังวล เช่น นั่งอ่านหนังสือสบายใจ
ข ๑๒๐,ความรู้สึกต่อการกระทำ,เต็มใจ		ยินดีที่จะทำ เช่น เต็มใจช่วย
ข ๑๒๑,ความรู้สึกต่อการพูด,สนิทปาก	ไม่รู้สึกขัดข้องตะขิดตะขวงที่จะพูด เช่น คนคนนี้พูดปดได้สนิทปาก
ข ๑๒๒,ความร็สึกเมื่อถูกสัมผัส,"สยิว, เสียวซ่าน		รู้สึกเสียวอย่างฉับพลันด้วยความกำหนัดเป็นต้น"
ข ๑๒๓,ความรู้สึกที่เกิดขึ้นอย่างฉับพลัน,"วูบวาบ, วูบๆ วาบๆ	รู้สึกร้อนแล้วหายไปทันทีทันใดต่อเนื่องกัน"
ข ๑๓๐, ข ๑๕๔ ความรู้สึกเมื่อประสบสิ่งต่างๆ หรือเหตุการณ์ต่างๆ,ข ๑๓๐ ความรู้สึกเมื่อประสบสิ่งแปลกใหม่
ข ๑๓๑,ความรู้สึกเมื่อประสบสิ่งที่ไม่คาดคิดหรือสิ่งผิดปรกติ,"ประหลาดใจ, แปลกใจ		รู้สึกว่าต่างกับที่เคยคิด เช่น แปลกใจที่พบเขา"
ข ๑๓๒,ความรู้สึกเมื่อประสบสิ่งหนึ่งมามาก,"เคยชิน, ชิน	ไม่รู้สึกแปลกเพราะประสบมานาน เช่น ชินอากาศ"
ข ๑๓๓, ข ๑๓๙ ความรู้สึกเมื่อประสบสิ่งที่ชอบใจ,ข ๑๓๓ ความพอใจ
ข ๑๓๔,ความสุข,"สุข; สุขี, สุโข, สุโขสโมสร (ปาก)		รูสึกพอใจสบายใจ"
ข ๑๓๕,ความสนุก,สนุก; มัน (ปาก)		อารมณ์ดีมีความสุขอยู่กับการกระทำอย่างใดอย่างหนึ่ง เช่น เล่นสนุก
ข ๑๓๖,ความยินดี,"ดีใจ; ยินดี (ทางการ); ดีเนื้อดีใจ, ดีอกดีใจ (ไม่ทางการ), ปราโมทย์, ปรีดา, ปรีดิ์เปรม, ปรีดิ์เปรมเกษมสันต์, ปรีดิ์เปรมเกษมศานต์, เปรมปรีดิ์, ภิรมย์, โสมนัส, อภิรมย์ (เขียน, กวี)		เกิดความรู้สึกเป็นสุขเมื่อประสบสิ่งที่ชอบใจ เช่น ดีใจจนเนื้อเต้น, ยินดีที่พบเขา"
ข ๑๓๗,ความตื้นตัน,"ตื้นตัน, ตื้นตันใจ		ซาบซึ้งในความดีของอีกฝ่ายหนึ่งจนพูดไม่ออก เช่น น้ำตาไหลด้วยความตื้นตัน"
ข ๑๓๘,ความสดชื่น,"ชื่นใจ, ชื่นฉ่ำใจ, ชื่นชูใจ		รู้สึกสดชื่นเมื่อประสบสิ่งที่พอใจ เช่น พูดเพราะๆ ให้ชื่นใจ, เด็กน้อยผู้นี้เป็นที่ชื่นชูใจของเธอ"
ข ๑๓๙,ความรู้สึกว่าน่าจะทำอีก,ได้ใจ		รู้สึกว่าตนน่าจะทำได้เพราะเคยทำได้แล้ว [มักเป็นเรื่องไม่ควรทำ] เช่น พอถูกล็อตเตอรี่ครั้งหนึ่งก็ได้ใจซื้ออีก
ข ๑๔๐, ข ๑๔๙ ความรู้สึกเมื่อประสบหรือจะประสบสิ่งที่ไม่ชอบใจ,ข ๑๔๐ ความไม่พอใจ
ข ๑๔๑,ความเสียใจ,"เสียใจ; โทมนัส (เขียน, กวี); ทุมโน (กวี)		ไม่สบายใจเพราะได้ทำผิดหรือผิดหวังเป็นต้น เช่น เสียใจที่หลงโกรธเพื่อน, เสียใจที่ลูกไม่รักดี"
ข ๑๔๒,ความเศร้า,เศร้า; กำสรด (กวี)	จิตใจไม่เบิกบานเพราะผิดหวังเป็นต้น  เช้น ทำไมมานั่งเศร้าอยู่ที่นี่
ข ๑๔๓,ความอึดอัดและความขมขื่นคับแค้น,"อึดอัด, อึดอัดใจ		รู้สึกไม่ปลอดโปร่งที่ไม่อาจทำได้ดังใจ เช่น อึดอัดใจที่ไม่อาจบอกความจริง"
ข ๑๔๔,ความทุกข์,"ทุกข์, ทุกข์ใจ, เป็นทุกข์; เป็นทุกข์เป็นร้อน (ไม่ทางการ)	ไม่สบายใจอย่างมาก เช่น ทุกข์เรื่องสามีเป็นมะเร็ง"
ข ๑๔๕,ความตกใจ,ตกใจ; ตกพระทัย (ราชา)		รู้สึกหวั่นไหวเมื่อประสบสิ่งที่ไม่คาดฝันหรือน่ากลัวโดยกะทันหัน เช่น พอฉันโผล่พรวดเข้าไป แม่ก็ตกใจ
ข ๑๔๖,ความกลัว,"กลัว; แกลน, สยอน (กวี)		รู้สึกว่าตนหรือผู้อื่นอาจประสบเรื่องไม่ดี เช่น กลัวจะสอบตก, กลัวเขาจะไปไม่ทัน; รู้สึกว่าจะมีภัยหรือเป็นภัย เช่น นึกกลัวขึ้นมาเฉยๆ, กลัวงู, กลัวตาย, กลัวลาน, กลัวหงอ, กลัวหัวหด"
ข ๑๔๗,ความรู้สึกยังมีกำลังใจและหมดกำลังใจ,ใจสู้		มีกำลังใจที่จะเผชิญทุกข์ยากต่อไปไม่ยอมแพ้ เช่น แม้จะเจ้บไข้แต่ใจยังสู้
ข ๑๔๘,ความเข็ดหลาบ,เข็ด		ไม่อยากทำอีกเพราะเคยได้รับผลร้ายมาแล้ว เช่น พายายหนูไปเที่ยววันเดียวเข็ดเลย
ข ๑๔๙,การไม่มีอารมณ์เปลี่ยนแปลง,ไม่หวั่นไหว	ไม่มีอารมณ์เปลี่ยนแปลง เช่น ไม่หวั่นไหวกับคำนินทา
ข ๑๕๐,ความรู้สึกเมื่อมิได้ประสบสิ่งที่ไม่ชอบใจ,"โล่งใจ, โล่งอก		หมดความกังวลเมื่อเหตุการณ์ผ่านพ้นไป เช่น โล่งใจที่ไม่มีเหตุร้าย"
ข ๑๕๑,ความรู้สึกเมื่อต้องเสียสิ่งที่ชอบใจ,"เสียดาย		ไม่อยากให้สิ่งที่ตนคิดว่าดีสูญเสียไป เช่น เสียดายเงิน, เสียดายเด็กดีๆ"
ข ๑๕๒,ความรู้สึกเมื่อติดต่อกับผู้ไม่คุ้นเคย,"กระดาก		อายเมื่อติดต่อกับผู้ไม่คุ้นเคย เช่น เด็กๆ ยังกระดากกันอยู่, ถูกจ้องจนรู้สึกกระดาก; ตะขิดตะขวงใจไม่อยากพูดหรือทำเพราะรู้สึกว่าไม่สมควร หรืออายที่ตนเคยกระทำไม่สมควร เช่น กระดากไม่กล้าเข้าหน้า, กระดากที่จะต้องขอยืมเงิน, กระดากปาก, กระดากใจ"
ข ๑๕๓,ความรู้สึกว่าไม่มีผู้ใกล้ชิด,เหงา		รู้สึกเหมือนไม่มีเพื่อน เช่น ทำไมมานั่งเหงาอยู่คนเดียว; ไม่คึกคัก เช่น บรรยากาศในงานเลี้ยงดูเหงาๆ
ข ๑๕๔,ความรู้สึกว่ามีผู้อยู่ใกล้ชิด,"อบอุ่น, อบอุ่นใจ		ปราศจากความว้าเหว่ เช่น ลูกๆ รู้สึกอบอุ่นที่พ่อแม่อยู่กันพร้อมหน้า"
ข ๑๖๐, ข ๑๖๑ ความรู้สึกเกี่ยวกับตนเอง,ข ๑๖๐ ความรู้สึกว่าตนทำผิดหรือมีข้อบกพร่อง
ข ๑๖๑,ความรู้สึกว่าตนดีหรือมีความสามารถ,ภูมิใจ		พอใจว่าตนหรือบุคคลหรือสิ่งที่เกี่ยวกับตนได้กระทำดีหรือมีคุณสมบัติดี เช่น ภูมิใจที่เรียนเก่ง
ข ๑๗๐, ข ๑๗๗ ความรู้สึกเนื่องด้วยบุคคลสิ่งต่างๆ และเรื่องต่างๆ,ข ๑๗๐ ความมีจิตผูกพันและไม่ผูกพัน
ข ๑๓๒,,"หน่ายแหนง, แหนงหน่าย		คลายรักเพราะแหนงใจ"
ข ๑๗๑,ความรู้สึกว่าสำคัญ,สนใจ		รู้สึกว่าน่าจะมีคุณค่าหรือความสำคัญ เช่น ดูภาพอย่างสนใจ
ข ๕๐,,"ไม่ถือเป็นอารมณ์, ไม่เอามาเป็นอารมณ์		ไม่โกรธหรือเสียใจเป็นต้น เพราะสิ่งหนึ่ง เช่น อย่าเอาคำพูดเขามาเป็นอารมณ์เลย"
ข ๑๗๒,ความรู้สึกว่าอยู่ในฐานะสูง,เคารพ; ยำ (กวี)		รู้สึกว่าผู้ใดผู้หนึ่งอยู่ในฐานะอันสูง เช่น เคารพบิดามารดา
ข ๑๗๓,ความรู้สึกว่าด้อย,"ดูถูก; ปรามาส (เขียน)		รู้สึกว่าผู้ใดผู้หนึ่ง หรือสิ่งใดสิ่งหนึ่งต่ำต้อยหรือด้อยค่าด้อยความสามารถ เช่น ดูถูก ฝีมือ, ดูถูกเงิน, ดูถูกว่าโง่"
ข ๑๗๔,ความรู้สึกไม่อยากรบกวน,เกรงฝจ; เกรงอกแกรงใจ (ไม่ทางการ)		เกรงว่าจะรบกวนหรือทำให้ไม่พอใจ เช่น เปิดวิทยุดังไม่เกรงใจเพื่อนบ้าน
ข ๑๗๕,ความรู้สึกถูกใจรักใคร่,"ชอบ		รู้สึกดีต่อผู้นั้นหรือสิ่งนั้นหรือมีความสุขที่จะได้ทำเช่นนั้น เช่น ชอบคนไทย, ชอบแมว, ชอบเที่ยว; รักใคร่, เช่น หนุ่มสาวชอบกัน; มักจะ เช่น ฝนชอบตกตอนบ่าย"
ข ๑๗๐,,จับใจ		ติดใจความดีความงามเป็นต้น เช่น จับใจความงามอย่างเป็นธรรมชาติ
ข ๑๗๖,ความรู้สึกไม่ถูกใจ,ชัง	ไม่ชอบ เช่น ชังน้ำหน้า
ข ๑๗๗,ความขุ่นเคือง,"ขัดเคือง, ขัดเคืองใจ, เคือง, เคืองใจ	ไม่พอใจผู้อื่น เช่น เคืองที่ถูกขัดคอ, เรื่องนี้ทำให้ฉันเคืองใจเขาอยู่นาน"
ข ๑๘๐, ข ๑๘๓ ความรู้สึกที่เกิดขึ้นเนื่องจากประสบการณ์ของผู้อื่น,ข ๑๘๐ ความรู้สึกเมื่อผู้อื่นประสบสิ่งดี
ข ๑๘๑, ข ๑๘๒ ความรู้สึกเมื่อผู้อื่นประสบสิ่งไม่ดี,ข ๑๘๑ ความเห็นใจและสลดใจ
ข ๑๘๒,ความสาแก่ใจ,"สะใจ, สาแก่ใจ		พอใจที่ผู้ที่ตนไม่ชอบได้รับผลร้าย เช่น รู้สึกสะใจที่ครูตีนิด"
ข ๑๘๓,ความรู้สึกเกรงว่าผู้อื่นอาจประสบสิ่งไม่ดี,"เป็นห่วง, ห่วง; ทำวน (กวี)	เกรงจะได้รับทุกข์หรือเป็นอันตราย เช่น เป็นห่วงลูกว่าจะหลงทาง, ห่วงบ้านเพราะไม่มีใครอยู่เลย"
ข ๑๙๐, ข ๑๙๒ การมีความรู้สึก,ข ๑๙๐ การมีความรู้สึกมาก
ข ๑๙๑,การมีความรู้สึกน้อย,"ตงิดๆ, นิดหน่อย, นิดๆ หน่อยๆ, หน่อยๆ		ดูความหมายใน ญ ๕๑"
ข ๑๙๓, ข ๑๙๘ ลักษณะบุคคลที่เกี่ยวกับความรู้สึก,ข ๑๙๓ ลักษณะที่มีความรู้สึกบางอย่างอยู่เป็นนิจ
ข ๑๙๔,ลักษณะที่เกี่ยวกับความโกรธ,"ขี้โกรธ,ขี้โมโห,เจ้าโทสะ,ฉุนเฉียว		โกรธง่าย"
ข ๑๙๕,ลักษณะที่เกี่ยวกับความอาย,ขี้อาย		มักจะกระดากอายอยู่เสมอ เช่น เขาขี้อายไม่ชอบแสดงตัว
ข ๑๙๖,ลักษณะที่เกี่ยวกับความกล้า,"กล้า,กล้าหาญ,แกล้วกล้า (เขียน) ; ก่าน,แกล้ว, หาญ (กวี)		ไม่เกรงภัย เช่น เขาเป็นคนกล้า, นักรบผู้แกล้วกล้า"
ข ๑๙๗,ลักษณะที่เกี่ยวกับความกลัว,"ขี้ขลาด, ตาขาว; ภีรุ, ภีรุก, ภีรุกชาติ (กวี)		ไม่กล้าเผชิญภัย เช่น แกนี่ตาขาว กลัวผีไม่เข้าเรื่อง"
ข ๑๙๘,ลักษณะที่เกี่ยวกับความน้อยใจ,ใจน้อย		น้อยใจง่าย เช่น เขาใจน้อยถูกว่านิดเดียวก็ลุกหนีไปแล้ว
ข ๒๐๐, ข ๒๒๐ ความต้องการ ความหวัง และความมุ่งหมาย,ข ๒๐๐ 
ข ๒๐๗,ความต้องการสำหรับตนและความต้องการที่เกี่ยวกับผู้อื่น,ข ๒๐๐ ความต้องการ
ข ๒๐๑,ความต้องการสงวนไว้กับตน,"หวง		ต้องการสงวนไว้กับตน เช่น พ่อหวงลูกสาว, เด็กหวงของเล่น"
ข ๒๐๒,ความต้องการน้อย,มักน้อย		อยากได้แต่น้อย เช่น เขามักน้อย พอใจเงินเดือนแค่ห้าพัน
ข ๒๐๓,ความต้องการเกินพอดี,"ละโมบ, โลภ; โลภโมโทสัน (ไม่ทางการ)		อยากได้ไม่รู้จักพอ"
ข ๒๐๔,ความต้องการเกินฐานะ,ทะเยอทะยาน	อยากมีฐานะหรือภาวะสูงกว่าที่เป็นอยู่ เช่น เขาทะเยอทะยานอยากเป็นเศรษฐี
ข ๒๐๕,ผู้ที่ต้องการ,เสือหิว (สำ)	คนที่อยากได้ประโยชน์หรือได้ลาภโดยไม่เลือกว่าควรหรือไม่ควร
ข ๒๐๖, ข ๒๐๗ ความต้องการที่เกี่ยวกับผู้อื่น,ข ๒๐๖ ความปรารถนาดีต่อผู้อื่น
ข ๒๐๗,ความปรารถนาร้ายต่อผู้อื่น,คิดร้าย		คิดจะทำร้าย เช่น แม้มีผู้คิดร้าย ก็ไม่อาจทำอันตรายได้
ข ๒๑๐, ข ๒๑๒ ความหวังและได้หรือไม่ได้ดังหวัง,ข ๒๑๐ ความหวัง
